Product Name,MRP,Wholesale Rate,Retail Rate
Dal Loose Maa Dhuli 50gm,10.0,5.5,6.0
Dal Loose Maa Sabut 1kg,140.0,100.0,120.0
Dal Loose Maa Sabut 250gm,35.0,25.0,30.0
Dal Loose Maa Sabut 500gm,70.0,50.0,60.0
Dal Loose Maa Sabut 50gm,10.0,5.5,6.0
Dal Loose Maida 1kg ,30.0,25.0,30.0
Dal Loose Maida 500gm ,15.0,13.0,15.0
Dal Loose Makka 1kg,25.0,20.0,25.0
Dal Loose Makka 500gm,15.0,10.0,15.0
Dal Loose Malka 1kg,100.0,85.0,90.0
Dal Loose Malka 250gm,25.0,20.0,22.0
Dal Loose Malka 500gm,50.0,42.0,45.0
Dal Loose Malka 50gm,5.0,4.5,5.0
Dal Loose Masri 1kg,100.0,85.0,90.0
Dal Loose Masri 250gm,25.0,20.0,22.0
Dal Loose Masri 500gm,50.0,42.0,45.0
Dal Loose Masri 50gm,5.0,4.5,5.0
Dal Loose Moong Chilka 1kg,90.0,75.0,80.0
Dal Loose Moong Chilka 250gm,22.0,20.0,22.0
Dal Loose Moong Chilka 500gm,45.0,40.0,45.0
Dal Loose Moong Chilka 50gm,5.0,4.0,5.0
Dal Loose Moong Dhuli 1Kg ,80.0,70.0,80.0
Dal Loose Moong Dhuli 250 gm ,20.0,17.0,20.0
Dal Loose Moong Dhuli 50 gm ,5.0,4.0,5.0
Dal Loose Moong Dhuli 500gm ,40.0,35.0,40.0
Dal Loose Moong Sabut 1kg,80.0,70.0,80.0
Dal Loose Moong Sabut 250gm,20.0,17.0,20.0
Dal Loose Moong Sabut 500gm,40.0,35.0,40.0
Dal Loose Moong Sabut 50gm,5.0,4.0,5.0
Dal Loose Moongi Masr 1kg,120.0,110.0,110.0
Dal Loose Moongi Masr 250gm,30.0,20.0,25.0
Dal Loose Moongi Masr 500gm,60.0,50.0,55.0
Dal Loose Rajma 1kg,130.0,115.0,120.0
Dal Loose Rajma 250gm,35.0,34.0,35.0
Dal Loose Rajma 500gm,65.0,58.0,60.0
Dal Loose Rajma 50gm,7.0,6.0,7.0
Dal Loose Sooji 1kg ,30.0,28.0,30.0
Dal Loose Sooji 500gm ,15.0,14.0,15.0
Dal Loose White Chana 1kg,140.0,130.0,135.0
Dal Loose White Chana 250gm,35.0,30.0,35.0
Dal Loose White Chana 500gm,70.0,65.0,60.0
Dal Loose White Chana 50gm,7.0,6.0,7.0
Dal Loose White Lobiya 1kg,80.0,70.0,75.0
Dal Loose White Lobiya 250gm,20.0,19.0,20.0
Dal Loose White Lobiya 500gm,40.0,35.0,37.0
Dal Loose White Lobiya 50gm,4.0,3.5,4.0
Dalda Peanut Oil 1L                                ,185.0,145.0,145.0
Dalda Refind 1L,117.0,85.0,88.0
Dark Fantasy Biscuit 30/-,30.0,27.0,28.0
Denver Deo,210.0,160.0,180.0
Dermi Cool Powder ,84.0,70.0,75.0
Dettol Gold Soap 50gm,20.0,18.0,19.0
Dettol Hand Pump  30/- ,30.0,27.0,29.0
Dettol Hand Wash Set  98/- ,98.0,90.0,98.0
Dettol Handwash 118/-,118.0,108.0,112.0
Dettol Handwash Orignal 1L,189.0,172.0,175.0
Dettol Handwash Pouch 185ml,46.0,42.0,45.0
Dettol Handwash Pump 215ml                         ,85.0,76.0,78.0
Dettol Kitchen Gel 200ml                                          ,60.0,54.0,57.0
Dettol Kitchen Gel 400ml                                          ,110.0,98.0,105.0
Dettol Kitchen Gel Refil 20/-,20.0,18.0,19.0
Dettol Liquid 100Ml CC ,36.99,32.0,35.0
Dettol Liquid 210ml CC ,58.0,52.0,55.0
Dettol Liquid 500ml CC ,129.0,115.0,120.0
Dettol Liquid 50ml CC ,22.0,20.0,21.0
Dettol Liquid Handwash 1Ltr.,189.0,170.0,180.0
Dettol Pump -90/-,90.0,80.0,85.0
Dettol Sanitizer 50ml,65.0,57.0,60.0
Dettol Shaving Cream 78gm,74.0,65.0,68.0
Dettol Shaving Foam Big,175.0,155.0,160.0
Dettol Soap 10/-,10.0,9.0,9.5
Dettol Soap Big Set 3pc Cool,141.0,128.0,138.0
Dettol Soap Big Set 3pc Orignal,147.0,135.0,140.0
Dettol Soap Big Set 3pc Skincare,147.0,135.0,140.0
Dettol Soap Small Set Cool,93.0,83.0,90.0
Dettol Soap Small Set Orignal ,87.0,79.0,80.0
Dettol Soap Small Set Skincare ,87.0,79.0,80.0
Dettol Squezy 30/-,30.0,27.0,28.0
Dhoop 10/-,10.0,10.0,10.0
Dhoop 15/-,15.0,15.0,15.0
Dhoop 5/-,5.0,5.0,5.0
Diary Milk,170.0,150.0,160.0
Diary Milk 10/-,10.0,9.0,9.5
Diary Milk 10/- Box 56pc,560.0,460.0,520.0
Diary Milk 20/- ,20.0,17.5,20.0
Diary Milk 20/- Box 40pc,800.0,700.0,750.0
Diary Milk 40/-,40.0,36.0,38.0
Diary Milk 40/- Cup Lickabells,40.0,36.0,40.0
Diary Milk 5/-,5.0,4.5,4.75
Diary Milk 5/- Box 72pc,360.0,315.0,340.0
Diary Milk Choclate 20/-,20.0,18.0,19.0
Diary Milk Crackle 42/-,42.0,37.0,40.0
Diary Milk Fruit & Nut 45/- ,45.0,40.0,42.0
Diary Milk Oreo Silk 75/-,75.0,68.0,75.0
Diary Milk Shots 10/-,10.0,9.0,10.0
Diary Milk Shots 5/-,5.0,4.5,5.0
Diary Milk Silk 65/-,65.0,58.0,62.0
Dilbag 10/-,300.0,185.0,210.0
Dilbag 5/-,200.0,130.0,140.0
Dinesh Atta 10kg                                                  ,350.0,290.0,310.0
Dinesh Atta 5kg                                                   ,175.0,145.0,155.0
Divya Hawan Samagri 100gm                                         ,21.0,11.0,15.0
Divya Hawan Samagri 100gm                                         ,75.0,40.0,50.0
Divya Hawan Samagri 200gm                                         ,40.0,22.0,30.0
Domex 2in1 500ml                                                  ,74.0,67.0,70.0
Dove Conditnor 180ml,186.0,170.0,180.0
Dove Conditnor 4/- Ladi 16pc,64.0,55.0,60.0
Dove Conditnor 4/- Mix 16pc ,64.0,55.0,60.0
Dove Conditnor 80ml,88.0,80.0,85.0
Dove Shampoo + Conditnor 5/- Ladi 16pc,80.0,65.0,72.0
Dove Shampoo 180ml,127.0,113.0,120.0
Dove Shampoo 2/- 16pc ,32.0,26.0,28.0
Dove Shampoo 3/- Intense Repair Ladi 16pc,48.0,38.0,44.0
Dove Shampoo 340ml,243.0,213.0,240.0
Dove Shampoo 650ml,430.0,380.0,390.0
Dove Shampoo 80ml,62.0,56.0,58.0
Dove Shampoo Hairfall Relief 3/- Ladi 16pc,48.0,38.0,44.0
Dove Shampoo with Red Algae 240ml,250.0,220.0,230.0
Dove Soap 10/- ,10.0,9.25,10.0
Dove Soap 50gm,24.0,22.0,23.0
Dove Soap 75gm,48.0,44.0,46.0
Dove Soap Set 300gm                                                    ,184.0,162.0,175.0
Dream Lite 5/- pckt 10pc,50.0,45.0,48.0
Dream Lite Biscuit 10/- ,10.0,9.0,10.0
Dream Lite Biscuit 10/- pckt 10pc,100.0,90.0,95.0
Dream Lite Biscuit 20/-,20.0,18.0,19.0
Dulhan Gul,180.0,120.0,120.0
Duracell AA Cell,38.0,28.0,30.0
Duracell AAA Cell,38.0,28.0,30.0
Ear Buds Packet (Single) ,22.0,10.0,15.0
Emami 7 Oil in 1   50ml                                             ,32.0,29.0,30.0
Emami 7 Oil in 1  100ml                                            ,60.0,54.0,56.0
Emami Cream 100ml,110.0,95.0,100.0
Emami Cream 30ml,40.0,35.0,37.0
Emami Cream 5/-,5.0,4.5,4.7
Emami Cream 60ml,70.0,62.0,65.0
Emami Fair & Handsome,30.0,26.0,28.0
Emami Fair & Handsome 10/-                                              ,10.0,9.0,10.0
Emami Fair & Handsome Cream,70.0,60.0,70.0
Emami Fair & Handsome Face Wash,35.0,31.0,32.0
Emami Fair & Handsome Face Wash ,85.0,75.0,80.0
Emami Powder 1+1,165.0,145.0,150.0
Emami Vasocare 5/-,5.0,4.0,4.5
Emami Vasocare 5/- Pack 48pc                       ,240.0,205.0,220.0
Engage Deo  220/-,220.0,170.0,180.0
Engage Deo 199/-,199.0,160.0,170.0
Eno 7/-                                            ,7.0,6.0,7.0
Eno 7/- Danda 60pc                                 ,420.0,350.0,380.0
Eno 7/- pckt 6pc Box                        ,42.0,35.0,40.0
Eno Jar ,89.0,80.0,85.0
Eno Saver Pack 540/-,540.0,410.0,430.0
Eurofoil Homefoil 9m                                              ,69.0,35.0,40.0
Eva Powder 10/-,10.0,9.0,9.5
Eveready AA 12.50/-,12.5,9.0,10.0
Eveready AA Cell Patta 10pc,125.0,90.0,100.0
Eveready AAA 12/-,12.0,8.0,10.0
Eveready AAA Cell Patta 10pc,120.0,80.0,100.0
Eveready Motta Cell ,20.0,18.0,20.0
Everest Channa Masala 10/- ,10.0,8.35,9.0
Everest Chicken Masala 50gm,37.0,28.0,32.0
Everest Chicken Masala 6/-  Ladi 10pc               ,60.0,52.0,55.0
Everest Chicken Masala Hanger 60pc                 ,360.0,295.0,320.0
Everest Chole Masala 50/- ,50.0,42.0,45.0
Everest Chole Masala 6/- Ladi 10pc                 ,60.0,52.0,55.0
Everest Dhania Powder 100gm,32.0,25.0,30.0
Everest Garam Masala 50gm,41.0,33.0,35.0
Everest Garam Masala 6/- Hanger 60pc               ,360.0,295.0,320.0
Everest Garam Masala 6/- Ladi 10pc                 ,60.0,52.0,55.0
Everest Haldi 100gm                                ,28.0,22.0,25.0
Everest Hing 25gm,40.0,25.0,30.0
Everest Hing 50gm,75.0,55.0,60.0
Everest Kutti Lal Mirch ,36.0,28.0,32.0
Everest Meat Masala 5/- Hanger 60pc                ,300.0,245.0,260.0
Everest Meat Masala 5/- Ladi 10pc                  ,50.0,42.0,47.0
Everest Meat Masala 50gm,35.0,27.0,30.0
Everest Sabji Masala 5/- Hanger 60pc               ,300.0,245.0,260.0
Everest Sabji Masala 50gm,28.0,22.0,25.0
Everest Sabji Masala 50gm,24.0,19.0,22.0
Everest Sabji Masala Ladi 10pc    5/-                        ,50.0,42.0,47.0
Everest Sambhar Masala Hanger ,300.0,245.0,260.0
Everest Sambhar Masala Ladi 10pc   5/-,50.0,42.0,45.0
Everest Shahi Paneer Masala 50gm,35.0,26.0,30.0
Everest Tikha Lal 100gm ,32.0,26.0,32.0
Everyouth Lemon Face Wash 100gm,99.0,88.0,95.0
Everyouth Lemon Face Wash 50gm,55.0,49.0,52.0
Everyouth Orange Peel Off 50gm,75.0,65.0,70.0
Everyouth Orange Peel off Pouch 15/-,15.0,12.5,15.0
Everyouth Scrub 100gm,130.0,115.0,120.0
Everyouth Scrub 12/-,12.0,10.5,12.0
Everyouth Scrub 25gm,35.0,31.0,33.0
Everyouth Scrub 50gm,70.0,60.0,65.0
Exo Round Dishwash Bar 500gm,45.0,40.0,42.0
Ezee 10/-,10.0,9.0,10.0
Ezee 1kg                                           ,175.0,155.0,165.0
Ezee 200gm                                         ,49.0,44.0,47.0
Ezee 5/- Packet 36pc                                              ,180.0,160.0,170.0
Ezee 500gm                                         ,90.0,81.0,85.0
Ezee Packet 2/- 50pc                                              ,100.0,90.0,95.0
Fa Men Shaving Cream 84gm,55.0,50.0,52.0
Fair & Handsome 60gm 120/- ,120.0,105.0,110.0
Fair & Handsome Bundle 10/-                                       ,240.0,210.0,230.0
Fair & Lovely 12pc/-,96.0,84.0,90.0
Fair & Lovely 25/-                                 ,25.0,22.5,24.0
Fair & Lovely 25gm,49.0,44.0,45.0
Fair & Lovely 50gm,93.0,83.0,88.0
Fair & Lovely 8/- Bundle 24pc                      ,192.0,170.0,190.0
Fair & Lovely 80gm,137.0,123.0,130.0
Fair & Lovely BB Cream ,169.0,152.0,160.0
Fair & Lovely BB Cream  79/-,79.0,72.0,75.0
Fair & Lovely Face Wash 20gm,25.0,22.0,23.0
Fair & Lovely Face Wash 50gm,60.0,53.0,58.0
Fair & Lovely Men Face Wash 50gm,79.0,72.0,75.0
Fair & Lovely Winter Cream 25gm,55.0,50.0,52.0
Fair & Lovely Winter Cream 50gm,99.0,90.0,92.0
Fair & Lovely Winter Cream 80gm,139.0,126.0,130.0
Fair Glow Soap Set 4pc,80.0,72.0,75.0
Fan 50/- ,50.0,40.0,45.0
Fatkari 10/-,10.0,5.0,6.0
Fem Bleach 82/-,82.0,72.0,75.0
Fem Blue Bleach 24gm                               ,57.0,50.0,54.0
Fem Blue Bleach 8gm                                ,32.0,29.0,31.0
Fem Diamond Bleach 10gm                            ,40.0,35.0,38.0
Fem Gold Bleach 24gm                               ,67.0,60.0,63.0
Fem Gold Bleach 8gm                                ,36.0,32.0,34.0
Fem Oxy Life Bleach                                ,37.0,33.0,35.0
Fem Oxy Life Bleach 27gm                           ,80.0,70.0,75.0
Fem Pink Bleach 24gm                               ,57.0,50.0,53.0
Fem Pink Bleach 8gm                                ,29.0,26.0,27.0
Fena Cake 10/- ,10.0,9.0,10.0
Fena Cake 5/-                                                     ,5.0,4.5,5.0
Fena Cake peti 10/- 64pc                                          ,640.0,550.0,600.0
Fena Cake peti 5/- 100pc                                          ,500.0,425.0,470.0
Fena Cake Set 4pc 38/- ,38.0,34.0,36.0
Fena Detergent 10/-                                 ,10.0,9.0,10.0
Fena Detergent 10/- katta 80pc                                    ,800.0,718.0,750.0
Fena Detergent 1kg,55.0,50.0,52.0
Fena Detergent 1kg katta 25pc                                     ,1375.0,1250.0,1300.0
Fena Detergent 500gm                                              ,30.0,27.0,28.0
Fena Detergent 500gm katta 50pc                                   ,1500.0,1350.0,1400.0
Fevi Kwik 5/-,5.0,4.0,5.0
Fevi Kwik 5/- Bundle 25pc,125.0,100.0,115.0
Fevi Kwik 75pc  375/-,375.0,300.0,350.0
Fiama Di Wills Gel Soap 75gm,36.0,33.0,34.0
Fiama Di Wills Soap 60/-,60.0,54.0,55.0
Fiama Di Wills Soap Set 3pc,174.0,154.0,160.0
Figaro 100ml,125.0,108.0,115.0
Figaro 200ml,240.0,204.0,220.0
Figaro 500ml,495.0,405.0,430.0
Flavour Colour Red ,7.0,3.2,5.0
Flavours Colour Green ,7.0,3.2,5.0
Flavours Colour Red ,18.0,10.0,15.0
Flavours Colour Yellow ,7.0,3.2,5.0
Flavours Kewra,18.0,10.0,15.0
Flavours Rose,18.0,10.0,15.0
Flavours Vanilla ,18.0,10.0,15.0
Flower White Phenyl 1L                                                   ,35.0,22.0,30.0
Foam Juna 10/-,10.0,6.0,8.0
Fogg Deo 199/-,199.0,160.0,170.0
Fogg Deo 250/-,250.0,190.0,200.0
Food Colour 7/-,7.0,3.2,5.0
Fortune Kachi Ghani 5L                             ,735.0,590.0,600.0
Fortune Kachi Ghani Sarso Oil 1L                   ,156.0,104.0,120.0
Fortune Rice-Bran Oil 5L                           ,675.0,590.0,610.0
Fortune Soya Refind 1L,120.0,83.0,83.0
Fortune Soya Refind 1L Petti 12pc,1440.0,970.0,1200.0
Fortune Soya Refind 5L                             ,580.0,480.0,460.0
Four in One Kasshi Agarbati 10/-                                  ,120.0,108.0,110.0
Fresh Wrap Homefoil 20 + 5m                                       ,130.0,83.0,90.0
Frooti  1.25ltr.,65.0,55.0,62.0
Frooti 10/-  160ml,10.0,8.5,9.5
Frooti 20/-  250ml,20.0,18.0,19.0
Frooti 2L        95/- ,95.0,82.0,90.0
Frooti 500gm 35/- ,35.0,30.0,33.0
Frooti Pckt 10/- 10pc                              ,100.0,85.0,95.0
Frooti Peti 40pc                                   ,400.0,330.0,350.0
Full Foam ,30.0,25.0,30.0
Full Jhadu,100.0,55.0,60.0
Gainda Phenyl 450ml                                               ,43.0,30.0,35.0
Gainda Phenyl Peti 20Pc                                           ,860.0,600.0,700.0
Gainda Phenyl Whit 1ltr ,50.0,30.0,40.0
Gainda White Phenyl  5L                                            ,200.0,130.0,150.0
Gallant II Blade 5+1,40.0,25.0,30.0
Gallant II Razor ,45.0,32.0,38.0
Gallant Razor,45.0,36.0,42.0
Ganeir Frutics Shampoo ,65.0,58.0,62.0
Garam Godam ,140.0,125.0,125.0
Garam Masala,100.0,80.0,100.0
Garam Masala 10/-,10.0,8.35,9.0
Garneir Conditnor 4/- Ladi 20pc,80.0,65.0,72.0
Garneir Cream Colour 2.0 Orignal Black,40.0,34.0,38.0
Garneir Cream Colour 3.0 Black Brown,40.0,34.0,38.0
Garneir Cream Colour 3.16 Burgundy,40.0,34.0,38.0
Garneir Cream Colour 4.0 Natural Brown ,40.0,34.0,38.0
Garneir Frutics Conditnor 175ml,150.0,130.0,135.0
Garneir Frutics Damage Control Shampoo 175ml,109.0,98.0,100.0
Garneir Gentle Orange Face Wash 100gm,99.0,88.0,95.0
Garneir Hair Colour 1-Natural Black ,175.0,150.0,160.0
Garneir Hair Colour 1-Natural Black 75/-,75.0,68.0,70.0
Garneir Hair Colour 3-Darkest Brown ,175.0,150.0,160.0
Garneir Hair Colour 3-Darkest Brown 75/-,75.0,68.0,70.0
Garneir Hair Colour 3.16 Burgundy,175.0,150.0,160.0
Garneir Hair Colour 3.16-Burgundy 75/-,75.0,68.0,70.0
Garneir Hair Colour 4-Brown ,175.0,150.0,160.0
Garneir Hair Colour 4-Brown 80/-,80.0,70.0,75.0
Garneir Hair Colour 5-Light Brown,175.0,150.0,160.0
Garneir Hair Colour 5-Lightest Brown 75/-,75.0,68.0,70.0
Garneir Men Face Wash Acne Fight,90.0,80.0,85.0
Garneir Men Face Wash Acne Fight,170.0,150.0,160.0
Garneir Men Face Wash Blue ,160.0,140.0,150.0
Garneir Men Face Wash Double Action  185/-,185.0,175.0,180.0
Garneir Men Face Wash Double Action 95/-,95.0,85.0,90.0
Garneir Men Face Wash Oil Clear  170/-,170.0,150.0,160.0
Garneir Men Face Wash Oil Clear  70/-,70.0,60.0,65.0
Garneir Men Face Wash Power White    85/-,85.0,75.0,80.0
Garneir Men Face Wash Power White   155/-,155.0,135.0,140.0
Garneir Men Face Wash Purple 170/-,170.0,150.0,160.0
Garneir Men Face Wash White  160/-,160.0,140.0,150.0
Garneir Pure Active Face Wash  90/-,90.0,80.0,85.0
Garneir Pure Active Face Wash 50gm,60.0,50.0,55.0
Garneir Shampoo 3/- Ladi 12pc,36.0,30.0,32.0
Garneir Ultra Doux Shampoo 175gm,120.0,108.0,112.0
Garneir Ultra Doux Shampoo 340gm,230.0,210.0,220.0
Garneir Ultra Doux Shampoo 75gm,55.0,50.0,52.0
Garneir White Complete Face Wash 100ml,170.0,150.0,155.0
Garneir White Complete Face Wash 50ml,82.0,72.0,78.0
Garneir Whitening Cream 20gm,85.0,75.0,80.0
Garneir Whitening Cream 40gm,160.0,140.0,148.0
Gaye Chaap Amchur 100gm                            ,35.0,21.0,25.0
Gaye Chaap Amchur 1kg                                             ,250.0,150.0,170.0
Gaye Chaap Amchur 50gm                             ,15.0,10.0,12.0
Gaye Chaap Dhania 100gm,25.0,14.0,18.0
Gaye Chaap Dhania 50gm                             ,15.0,7.0,10.0
Gaye Chaap Dhania Powder 1kg                                      ,220.0,110.0,150.0
Gaye Chaap Garam Masala 100gm                      ,60.0,41.0,50.0
Gaye Chaap Garam Masala 50gm  25/- ,25.0,15.0,20.0
Gaye Chaap Garam Masala Local 1kg                                 ,280.0,190.0,200.0
Gaye Chaap Garam Masala Special 1kg                               ,500.0,400.0,420.0
Gaye Chaap Haldi 100gm                             ,25.0,14.0,18.0
Gaye Chaap Haldi 1kg                                              ,200.0,110.0,150.0
Gaye Chaap Haldi 50gm                              ,15.0,7.0,10.0
Gaye Chaap Jeera 100gm                             ,35.0,27.0,30.0
Gaye Chaap Jeera 1kg                                              ,300.0,260.0,280.0
Gaye Chaap Jeera 50gm                              ,20.0,13.5,15.0
Gaye Chaap Kutti Lal Mirch 1Kg,200.0,115.0,160.0
Gaye Chaap Lal Mirch 100gm                         ,30.0,12.5,20.0
Gaye Chaap Lal Mirch 50gm                          ,15.0,6.25,12.0
Gaye Chaap Lal Mirch Powder ,30.0,13.5,18.0
Gaye Mirch Kutti 100gm ,30.0,13.5,20.0
Gems 10/- ,10.0,9.0,10.0
Gems 10/- Hanger 48pc,480.0,430.0,440.0
Gems 5 /-,5.0,4.5,5.0
Gems 5/- Hanger 36pc,180.0,160.0,165.0
Ghari Cake 10/-                                                   ,10.0,9.0,10.0
Ghari Cake 10/- peti 56pc                                         ,560.0,495.0,560.0
Ghari Cake 5/-                                                    ,5.0,4.5,5.0
Ghari Cake 5/- Peti 100pc                                         ,500.0,445.0,500.0
Ghari Detergent  5/-  Katta,500.0,440.0,460.0
Ghari Detergent 10/-                                              ,10.0,9.0,10.0
Ghari Detergent 1kg                                               ,57.0,52.0,55.0
Ghari Detergent 5 /-,5.0,4.5,5.0
Ghari Detergent 500gm                                             ,29.0,26.5,27.0
Ghari Detergent katta 10/- 80pc                                   ,800.0,718.0,800.0
Ghari Detergent katta 1kg 25pc                                    ,1425.0,1270.0,1400.0
Ghari Detergent katta 500gm                                       ,1160.0,1060.0,1080.0
Gillete After Shave ,268.0,240.0,250.0
Gillete Guard Blade 3pc,28.0,25.0,26.0
Gillete Guard Blade 6pc,55.0,50.0,52.0
Gillete Guard Razor,22.0,18.0,20.0
Gillete Guard Single Blade ,10.0,8.5,10.0
Gillete Mach 3 Blade 2pc,260.0,230.0,240.0
Gillete Mach 3 Blade 4pc,475.0,420.0,430.0
Gillete Mach 3 Razor,180.0,160.0,170.0
Gillete Preso 1pc Net Rate,24.0,15.0,20.0
Gillete Presto Rs19/- ,19.0,15.0,18.0
Gillete Shave Gel 85/-,85.0,77.0,80.0
Gillete Shaving Brush,54.0,45.0,50.0
Gillete Shaving Foam Big,219.0,195.0,200.0
Gillete Shaving Foam Small,85.0,78.0,82.0
Gillete Shaving Gel 37/-,37.0,33.0,35.0
Gillete Vector 3 Blade 2pc,130.0,115.0,120.0
Gillete Vector 3 Razor,99.0,90.0,92.0
Gillete Vector Plus Blade 2pc,55.0,50.0,52.0
Gillete Vector Plus Blade 4pc,100.0,90.0,95.0
Gillete Vector Plus Blade 6pc,115.0,102.0,108.0
Gillete Vector Razor,55.0,50.0,52.0
Gluco Vita Goli 10/- Jar 20pc,200.0,165.0,170.0
Glucon-D 5/- Ladi 12pc Nimbu,60.0,52.0,55.0
Glucon-D Aampana 500gm,135.0,105.0,125.0
Glucon-D Nimbupani 100gm,32.0,25.0,30.0
Glucon-D Nimbupani 1kg,250.0,195.0,220.0
Glucon-D Nimbupani 200gm,62.0,50.0,60.0
Glucon-D Nimbupani 500gm,135.0,105.0,130.0
Glucon-D Orange 100gm,33.0,26.0,31.0
Glucon-D Orange 1kg,250.0,195.0,210.0
Glucon-D Orange 200gm,64.0,52.0,60.0
Glucon-D Orange 5/- Ladi 12pc,60.0,50.0,55.0
Glucon-D Orange 500gm,140.0,110.0,125.0
Glucon-D Plain Green 100gm ,25.0,20.0,23.0
Glucon-D Plain Green 1kg ,155.0,120.0,150.0
Glucon-D Plain Green 200gm,38.0,30.0,34.0
Glucon-D Plain Green 500gm,89.0,70.0,75.0
Glucon-D Plain Green Jar 500gm,97.0,85.0,90.0
Glycrine 15/-,15.0,10.0,15.0
Glycrine 32/-,32.0,22.0,25.0
Glycrine 42/-,42.0,30.0,38.0
Glycrine 66/-,66.0,40.0,45.0
God Gift Sukhi Dhoop                               ,180.0,108.0,120.0
Godrej Air Pockets                                                ,55.0,49.0,54.0
Godrej Expert Advanced Gel 17/-,17.0,15.0,17.0
Godrej Expert Advanced Gel 17/- Box  8pc,134.0,120.0,125.0
Godrej Expert Black Colour 17/-,17.0,15.0,17.0
Godrej Expert Black Colour 17/- box 8pc,134.0,120.0,125.0
Godrej Expert Brown Colour 17/-,17.0,15.0,17.0
Godrej Expert Brown Colour 17/- Box 8pc,134.0,120.0,125.0
Godrej No.1 Big Set,72.0,62.0,68.0
Godrej No.1 Big Set Coconut,72.0,62.0,68.0
Godrej No.1 Big Set Jasmine,68.0,59.0,65.0
Godrej No.1 Big Set Kesar Malai,72.0,62.0,68.0
Godrej No.1 Big Set Lime,72.0,62.0,68.0
Godrej No.1 Big Set Peti 36pc,2592.0,2160.0,2300.0
Godrej No.1 Big Set Peti 68/-,2448.0,2050.0,2250.0
Godrej No.1 Big Set Rose,72.0,62.0,68.0
Godrej No.1 Big Set Safforn,72.0,62.0,68.0
Godrej No.1 Big Set Sandal,72.0,62.0,68.0
Godrej No.1 Glycrine Soap,15.0,12.0,13.0
Godrej No.1 Small Set                                             ,40.0,34.0,38.0
Godrej No.1 Small Set Coconut,40.0,34.0,36.0
Godrej No.1 Small Set Jasmine,40.0,34.0,36.0
Godrej No.1 Small Set Kesar Malai,40.0,34.0,36.0
Godrej No.1 Small Set Lime,40.0,34.0,36.0
Godrej No.1 Small Set Peti 54pc,2160.0,1780.0,2000.0
Godrej No.1 Small Set Rose,40.0,34.0,36.0
Godrej No.1 Small Set Safforn,40.0,34.0,36.0
Godrej No.1 Small Set Sandal,40.0,34.0,36.0
Godrej No.1 Soap 5/-,5.0,4.3,4.5
Godrej Nupur Hair Colour Burgundy,39.0,28.0,30.0
Godrej Nupur Hair Colour Dark Brown ,39.0,28.0,30.0
Godrej Nupur Hair Colour Natural Black ,39.0,28.0,30.0
Godrej Nupur Mehndi 130gm,55.0,48.0,50.0
Godrej Nupur Mehndi 500gm,140.0,110.0,120.0
Godrej Nupur Mehndi 50gm,28.0,24.0,26.0
Godrej Rich Creame Colour 1.0 Natural Black,30.0,25.0,28.0
Godrej Rich Creame Colour 3.0 Black Brown,30.0,25.0,28.0
Godrej Rich Creame Colour 4.06 Dark Brown,30.0,25.0,28.0
Godrej Rich Creame Colour 4.16 Burgundy,30.0,25.0,28.0
Godrej Rich Creame Colour 5.31 Honey Brown,30.0,26.0,35.0
Godrej Rich Creame Colour Natural Brown ,30.0,25.0,28.0
Godrej Shaving Cream ,50.0,45.0,46.0
Godrej Shikha Kai Soap 75gm,16.0,14.5,15.0
Gola 100gm Khula,50.0,25.0,35.0
Gold Flake Big,150.0,138.0,150.0
Gold Flake Small,120.0,86.0,92.0
Good Day Biscuit 30/- ,30.0,26.0,28.0
Goodday 10/- peti 96pc,960.0,630.0,750.0
Goodday Biscuit 10/- Blue Pckt 12pc,120.0,108.0,115.0
Goodday Biscuit 35/-,35.0,31.0,33.0
Goodday Biscuit Orange 10/- Pckt 12pc,120.0,108.0,115.0
Goodnight Coil Neem                                               ,33.0,27.0,30.0
Goodnight Fast Card                                               ,10.0,9.0,10.0
Goodnight Liquid,72.0,62.0,68.0
Goodnight Low Smoke Coil                                          ,32.0,27.0,30.0
Goodnight Machine 78/-                                     ,78.0,68.0,70.0
Goodnight Mat 100Pc                                               ,135.0,120.0,130.0
Goodnight Mat 30Pc                                                ,54.0,49.0,52.0
Goodnight Mat Machine                                             ,36.0,33.0,35.0
Goodnight Xpress Machine                                          ,99.0,90.0,92.0
Goodnight Xpress Refil                                            ,72.0,63.0,65.0
Gopal Je Thandai 100gm 52/- ,52.0,33.0,40.0
Gopal Je Thandai 200gm 100/- ,100.0,64.0,80.0
Gopal Soap 10/-,10.0,9.0,9.5
Gopal Soap 10/- Petti,500.0,450.0,500.0
Gud Loose ,70.0,50.0,60.0
Gulab jal 150 ml  42/-,42.0,38.0,38.0
Gulab Jal 300 ml  70/-,70.0,62.0,65.0
Gur - 70/- ,70.0,50.0,60.0
Hair & Care 100ml                                                 ,60.0,54.0,48.0
Hair & Care 200ml                                                 ,115.0,103.0,108.0
Hair & Care 300ml                                                 ,150.0,135.0,140.0
Hair & Care 500ml                                                 ,205.0,185.0,195.0
Hair & Care 50ml                                                  ,32.0,29.0,30.0
Hair Colour Dye Brush,50.0,30.0,35.0
Hajmola Anardana 1/- Jar 160pc,160.0,140.0,150.0
Hajmola C C Regular -28/- ,28.0,25.0,28.0
Hajmola Candy ,160.0,130.0,150.0
